USER_ID,ITEM_ID,TIMESTAMP
196,242,881250949
186,302,891717742
22,377,878887116
166,346,886397596
115,265,881171488
6,86,883603013
62,257,879372434
200,222,876042340
122,387,879270459
194,274,879539794
119,392,886176814
167,486,892738452
95,546,879196566
38,95,892430094
102,768,883748450
63,277,875747401
160,234,876861185
50,246,877052329
97,194,884238860
157,274,886890835
7,32,891350932
10,16,877888877
99,4,886519097
178,332,882823437
81,432,876535131
25,181,885853415
59,196,888205088
72,679,880037164
87,384,879877127
42,423,881107687
115,20,881171009
20,288,879667584
13,526,882141053
138,26,879024232
167,232,892738341
60,427,883326620
57,304,883698581
189,512,893277702
194,165,879546723
178,248,882823954
127,229,884364867
42,403,881108684
11,111,891903862
95,625,888954412
8,338,879361873
162,25,877635573
145,275,885557505
62,498,879373848
62,382,879375537
28,209,881961214
135,23,879857765
32,294,883709863
90,382,891383835
166,328,886397722
160,174,876860807
198,498,884207492
42,96,881107178
168,151,884288058
110,307,886987260
58,144,884304936
90,648,891384754
62,21,879373460
94,789,891720887
128,485,879966895
44,195,878347874
194,385,879524643
72,195,880037702
41,265,890687042
82,135,878769629
59,23,888205300
7,479,891352010
174,368,886434402
87,274,879876734
13,272,884538403
95,787,888954930
43,14,883955745
57,419,883698454
84,405,883452363
194,466,879525876
160,135,876860807
99,268,885678247
10,486,877886846
85,427,879456350
121,514,891387947
90,98,891383204
49,559,888067405
42,794,881108425
155,323,879371261
68,117,876973939
172,177,875537965
19,4,885412840
5,2,875636053
44,294,883612356
43,137,875975656
80,466,887401701
66,298,883601324
18,443,880130193
99,79,885680138
13,98,881515011
26,258,891347949
7,455,891353086
200,673,884128554
119,328,876923913
130,379,875801662
38,328,892428688
160,719,876857977
130,216,875216545
1,61,878542420
72,48,880036718
56,755,892910207
13,360,882140926
15,405,879455957
92,77,875654637
181,220,878962392
52,280,882922806
161,202,891170769
148,408,877399018
125,235,892838559
97,228,884238860
83,234,887665548
90,347,891383319
194,181,879521396
125,478,879454628
110,688,886987605
151,10,879524921
6,14,883599249
54,106,880937882
91,323,891438397
87,554,879875940
200,318,884128458
178,568,882826555
62,65,879374686
92,172,875653271
36,339,882157581
70,746,884150257
63,242,875747190
28,201,881961671
14,98,890881335
194,54,879525876
119,237,874775038
66,258,883601089
83,623,880308578
192,476,881368243
100,344,891374868
83,576,880308755
181,264,878961624
38,153,892430369
7,382,891352093
85,507,879456199
59,468,888205855
193,96,889124507
113,595,875936424
189,520,893265380
123,427,879873020
119,222,874775311
158,177,880134407
181,3,878963441
13,198,881515193
1,189,888732928
145,237,875270570
23,385,874786462
42,546,881105817
16,64,877720297
95,135,879197562
154,357,879138713
77,484,884733766
13,215,882140588
16,705,877722736
145,15,875270655
187,64,879465631
200,304,876041644
170,749,887646170
184,218,889909840
128,204,879967478
184,153,889911285
1,33,878542699
1,160,875072547
184,321,889906967
54,595,880937813
94,343,891725009
128,508,879967767
23,323,874784266
82,183,878769848
133,751,890588547
69,256,882126156
13,56,881515011
18,26,880129731
92,229,875656201
144,89,888105691
191,302,891560253
200,96,884129409
16,197,877726146
61,678,892302309
142,169,888640356
87,40,879876917
177,333,880130397
10,175,877888677
191,286,891560842
43,323,875975110
21,558,874951695
197,96,891409839
13,344,888073635
194,66,879527264
94,265,891721889
121,291,891390477
134,286,891732334
180,462,877544218
104,117,888465972
38,758,892434626
7,163,891353444
52,250,882922661
13,186,890704999
178,731,882827532
43,815,883956189
83,78,880309089
151,197,879528710
109,631,880579371
144,699,888106106
64,392,889737542
92,501,875653665
160,460,876861185
13,498,882139901
59,715,888205921
5,17,875636198
125,163,879454956
174,315,886432749
114,505,881260203
23,196,874786926
128,15,879968827
181,279,878962955
60,60,883327734
181,325,878961814
119,407,887038665
92,587,875660408
99,111,885678886
11,558,891904214
65,47,879216672
85,259,881705026
137,144,881433689
111,328,891679939
91,480,891438875
1,20,887431883
187,210,879465242
96,156,884402860
7,430,891352178
116,350,886977926
73,480,888625753
70,431,884150257
72,182,880036515
25,357,885852757
189,526,893266205
200,365,884129962
187,135,879465653
184,187,889909024
63,289,875746985
13,229,882397650
62,712,879376178
54,742,880934806
63,762,875747688
11,732,891904596
92,168,875653723
8,550,879362356
72,54,880036854
164,406,889402389
117,150,880125101
94,184,891720862
130,109,874953794
128,371,879966954
94,720,891723593
64,381,879365491
151,176,879524293
45,25,881014015
181,306,878962006
21,370,874951293
10,611,877886722
197,346,891409070
131,126,883681514
109,8,880572642
198,58,884208173
181,741,878962918
128,603,879966839
90,289,891382310
157,25,886890787
119,382,874781742
21,222,874951382
72,699,880036783
90,259,891382392
59,742,888203053
